Original	Simplified	G	S	M	Overall
No suicide note was found in the home, but Goodyear said a witness told police he received a text from Thomas at about 3 a.m. that said she wanted to be cremated with the children.	No suicide note was found in the home. A witness told police. A witness received a text from Thomas at about 3 a.m.	ok	good	ok	ok
No suicide note was found in the home, but Goodyear said a witness told police he received a text from Thomas at about 3 a.m. that said she wanted to be cremated with the children.	No suicide note was found in the home. A witness told police. He received a text from Thomas at about 3 a.m.	ok	ok	ok	ok
No suicide note was found in the home, but Goodyear said a witness told police he received a text from Thomas at about 3 a.m. that said she wanted to be cremated with the children.	No suicide note was found in the home ,but Goodyear said .	bad	bad	bad	bad
No suicide note was found in the home, but Goodyear said a witness told police he received a text from Thomas at about 3 a.m. that said she wanted to be cremated with the children.	No suicide note was found in the home but Goodyear said a witness told police he received a text from Thomas at about 3 a.m.	good	ok	ok	ok
On Facebook, more than 10,000 people signed up to a page announcing an opposition rally for Saturday.	On Facebook, more than 10,000 people signed to a page announcing an opposition rally for Saturday.	ok	good	good	ok
On Facebook, more than 10,000 people signed up to a page announcing an opposition rally for Saturday.	On Facebook more than 10,000 people signed to a page. A page announced an opposition rally.	good	good	ok	ok
On Facebook, more than 10,000 people signed up to a page announcing an opposition rally for Saturday.	On Facebook more than 10,000 people signed to a page. A page announced an opposition rally.	ok	good	good	ok
On Facebook, more than 10,000 people signed up to a page announcing an opposition rally for Saturday.	On Facebook ,more than 10,000 people signed up to a page announcing an opposition rally for Saturday .	good	good	good	good
On Facebook, more than 12,000 people signed up to a page announcing an opposition rally for Saturday - and many of them have never taken part in political demonstrations Mariya Boyarintseva, a 24-year-old event manager, told The Associated Press that she has never been to a political rally before but she was going to Saturday's protest.	more than 12,000 people signed to a page announcing an opposition rally for Saturday and many political demonstrations Mariya Boyarintseva, told The Associated Press a political rally but she was going Saturday 's protest.	bad	bad	bad	bad
On Facebook, more than 12,000 people signed up to a page announcing an opposition rally for Saturday - and many of them have never taken part in political demonstrations Mariya Boyarintseva, a 24-year-old event manager, told The Associated Press that she has never been to a political rally before but she was going to Saturday's protest.	More than 12,000 people signed to a page. A page announced an opposition rally. 24-year-old was going Saturday 's protest.	ok	ok	bad	bad
On Facebook, more than 12,000 people signed up to a page announcing an opposition rally for Saturday - and many of them have never taken part in political demonstrations Mariya Boyarintseva, a 24-year-old event manager, told The Associated Press that she has never been to a political rally before but she was going to Saturday's protest.	More than 12,000 people signed up to a page. A page announced an opposition rally. She was going Saturday 's protest.	good	good	ok	ok
On Facebook, more than 12,000 people signed up to a page announcing an opposition rally for Saturday - and many of them have never taken part in political demonstrations Mariya Boyarintseva, a 24-year-old event manager, told The Associated Press that she has never been to a political rally before but she was going to Saturday's protest.	On Facebook ,more than 12,000 people signed up to a page announcing an opposition rally for Saturday - and many of them have never taken part in political demonstrations .	good	bad	ok	bad
On Wednesday, two video journalists working for the state-owned RIA Novosti news agency were briefly detained outside the Election Commission building where Putin was handing in his application to run.	On Wednesday two video journalists were briefly detained outside the Election Commission building. Two video journalists worked for the state-owned RIA Novosti news agency. Putin was handing in his application.	good	good	ok	ok
On Wednesday, two video journalists working for the state-owned RIA Novosti news agency were briefly detained outside the Election Commission building where Putin was handing in his application to run.	On Wednesday two video journalists were briefly detained outside the Election Commission building. Two video journalists worked for the state-owned RIA Novosti news agency. Putin was handing in his application.	good	ok	ok	ok
On Wednesday, two video journalists working for the state-owned RIA Novosti news agency were briefly detained outside the Election Commission building where Putin was handing in his application to run.	On Wednesday ,two video journalists working for the state-owned RIA Novosti news agency were briefly detained outside the Election Commission building .	good	ok	ok	ok
On Wednesday, two video journalists working for the state-owned RIA Novosti news agency were briefly detained outside the Election Commission building where Putin was handing in his application to run.	On Wednesday, two video journalists working for the state-owned RIA Novosti news agency were briefly detained outside the Election Commission building Putin was handing in his application.	ok	bad	ok	bad
Philippine navy personnel who initially boarded the Chinese boats discovered illegally collected corals, giant clams and live sharks inside their compartments, according to the statement.	Philippine navy personnel boarded illegally collected corals, giant clams and sharks inside their compartments.	good	ok	bad	bad
Philippine navy personnel who initially boarded the Chinese boats discovered illegally collected corals, giant clams and live sharks inside their compartments, according to the statement.	Philippine navy personnel collected corals ,giant clams and live sharks inside their compartments.	good	good	bad	bad
Philippine navy personnel who initially boarded the Chinese boats discovered illegally collected corals, giant clams and live sharks inside their compartments, according to the statement.	Philippine navy personnel illegally collected corals, giant clams and sharks inside their compartments.	good	good	bad	bad
Philippine President Benigno Aquino said he was looking to end the standoff through diplomatic means.	He was looking to end the standoff through diplomatic means.	good	good	good	good
Philippine President Benigno Aquino said he was looking to end the standoff through diplomatic means.	Philippine President Benigno Aquino said .	bad	good	bad	bad
Philippine President Benigno Aquino said he was looking to end the standoff through diplomatic means.	Philippine President Benigno Aquino said he was looking to end the standoff through diplomatic means.	good	ok	good	ok
Philippine President Benigno Aquino said he was looking to end the standoff through diplomatic means.	Philippine President Benigno Aquino was looking to end the standoff through diplomatic means.	good	good	good	good
Police have examined the scene at a house at William Court in Bellaghy, near Magherafelt for clues to the incident which has stunned the community.	Police have examined the scene at a house at William Court in Bellaghy ,near Magherafelt for clues to the incident .	good	ok	good	ok
Police have examined the scene at a house at William Court in Bellaghy, near Magherafelt for clues to the incident which has stunned the community.	Police have examined the scene at William Court near Magherafelt. The incident has stunned the community.	good	good	bad	bad
Police have examined the scene at a house at William Court in Bellaghy, near Magherafelt for clues to the incident which has stunned the community.	Police have examined the scene at William Court near Magherafelt. The incident has stunned the community.	good	ok	bad	bad
Police have examined the scene at a house at William Court in Bellaghy, near Magherafelt for clues to the incident which has stunned the community.	Police have examined the scene at William Court, near Magherafelt the incident has stunned the community.	ok	ok	bad	bad
Police said they believe a mother shot her four children and then herself in her Port St. John, Fla., home early Tuesday.	A mother shot her four children.	good	good	bad	bad
Police said they believe a mother shot her four children and then herself in her Port St. John, Fla., home early Tuesday.	Police said .	bad	ok	bad	bad
Prime Minister Mariano Rajoy's government took the sweeping action just two days after it nationalised the fourth-biggest bank, Bankia, to salvage a balance sheet dripping in red ink.	Prime Minister Mariano Rajoy 's government took the sweeping action .	good	ok	bad	bad
Prime Minister Mariano Rajoy's government took the sweeping action just two days after it nationalised the fourth-biggest bank, Bankia, to salvage a balance sheet dripping in red ink.	Rajoy 's government took the sweeping action it nationalised the fourth-biggest bank, to salvage a balance sheet dripping in red ink.	ok	ok	ok	ok
Prime Minister Mariano Rajoy's government took the sweeping action just two days after it nationalised the fourth-biggest bank, Bankia, to salvage a balance sheet dripping in red ink.	Rajoy 's government took the sweeping action. To salvage a balance sheet.	ok	good	bad	bad
Prime Minister Mariano Rajoy's government took the sweeping action just two days after it nationalised the fourth-biggest bank, Bankia, to salvage a balance sheet dripping in red ink.	Rajoy 's government took the sweeping action. To salvage a balance sheet.	ok	good	ok	ok
Rastan, 25 km (15 miles) north of Homs city, has slipped in and out of government control several times since the uprising against Assad erupted in March 2011.	Rastan ,25 km -LRB- 15 miles -RRB- north of Homs city ,has slipped in and out of government control several times .	ok	ok	ok	ok
Rastan, 25 km (15 miles) north of Homs city, has slipped in and out of government control several times since the uprising against Assad erupted in March 2011.	Rastan, has slipped government control several times the uprising against Assad erupted in March 2011.	ok	ok	ok	ok
Rastan, 25 km (15 miles) north of Homs city, has slipped in and out of government control several times since the uprising against Assad erupted in March 2011.	Rastan has slipped government control several times. The uprising erupted in March 2011.	good	good	bad	bad
Rastan, 25 km (15 miles) north of Homs city, has slipped in and out of government control several times since the uprising against Assad erupted in March 2011.	Rastan has slipped government control several times. The uprising erupted in March 2011.	ok	good	bad	bad
Rebels killed 23 Syrian soldiers on Monday, according to a rights group opposed to President Bashar Assad, in battles around the town of Rastan that further undermined a sagging U.N.-backed ceasefire.	Rebels killed 23 Syrian soldiers on Monday ,according to a rights group opposed to President Bashar Assad ,in battles around the town of Rastan .	good	ok	ok	ok
Rebels killed 23 Syrian soldiers on Monday, according to a rights group opposed to President Bashar Assad, in battles around the town of Rastan that further undermined a sagging U.N.-backed ceasefire.	Rebels killed 23 Syrian soldiers on Monday. Battles undermined a sagging U.N.-backed ceasefire.	good	good	good	good
Rebels killed 23 Syrian soldiers on Monday, according to a rights group opposed to President Bashar Assad, in battles around the town of Rastan that further undermined a sagging U.N.-backed ceasefire.	Rebels killed 23 Syrian soldiers on Monday. Battles undermined a sagging U.N.-backed ceasefire.	good	good	good	good
Rebels killed 23 Syrian soldiers on Monday, according to a rights group opposed to President Bashar Assad, in battles around the town of Rastan that further undermined a sagging U.N.-backed ceasefire.	Rebels killed 23 Syrian soldiers on Monday battles undermined a sagging U.N.-backed ceasefire.	ok	good	ok	ok
"Shells and rockets have been hitting the town since three a.m. (midnight GMT) at a rate of one a minute.	`` Shells and rockets have been hitting the town since three a.m. -LRB- midnight GMT -RRB- at a rate of one a minute .	good	ok	good	ok
Shells and rockets have been hitting the town since three a.m. (midnight GMT) at a rate of one a minute.	Shells and rockets have been hitting the town since three a.m. ( midnight GMT ).	good	good	ok	ok
"Shells and rockets have been hitting the town since three a.m. (midnight GMT) at a rate of one a minute.	Shells and rockets have been hitting the town since three a.m. ( midnight GMT ).	good	good	good	good
"Shells and rockets have been hitting the town since three a.m. (midnight GMT) at a rate of one a minute.	Shells and rockets have been hitting the town since three a.m. ( midnight GMT ).	good	good	good	good
Since then a priest said he believed Lauren died trying to protect her sister, while Stormont deputy First Minister Martin McGuinness visited the family and said they are in trauma.	Lauren died tryed to protect her sister. Stormont deputy First Minister Martin McGuinness visited the family.	good	good	ok	ok
Since then a priest said he believed Lauren died trying to protect her sister, while Stormont deputy First Minister Martin McGuinness visited the family and said they are in trauma.	Lauren died tryed to protect her sister. Stormont deputy First Minister Martin McGuinness visited the family.	ok	good	good	ok
Since then a priest said he believed Lauren died trying to protect her sister, while Stormont deputy First Minister Martin McGuinness visited the family and said they are in trauma.	Since then a priest said .	bad	ok	bad	bad
Since then a priest said he believed Lauren died trying to protect her sister, while Stormont deputy First Minister Martin McGuinness visited the family and said they are in trauma.	Since then a priest said Lauren died trying to protect Stormont deputy First Minister Martin McGuinness visited the family and said.	bad	bad	bad	bad
Spain's government tried to plug a gaping hole in the country's banking system on Friday, but the fourth such attempt to tackle the fallout of a property crash fell short of expectations.	Spain 's government tried to plug a gaping hole in the country 's banking system on Friday ,but the fourth such attempt fell short of expectations .	good	good	good	good
Spain's government tried to plug a gaping hole in the country's banking system on Friday, but the fourth such attempt to tackle the fallout of a property crash fell short of expectations.	Spain 's government tried to plug but the fourth such attempt the fallout a property crash fell short.	bad	bad	ok	bad
Spain's government tried to plug a gaping hole in the country's banking system on Friday, but the fourth such attempt to tackle the fallout of a property crash fell short of expectations.	Spain 's government tried to plug. The fourth such attempt fell short.	ok	good	bad	bad
Spain's government tried to plug a gaping hole in the country's banking system on Friday, but the fourth such attempt to tackle the fallout of a property crash fell short of expectations.	Spain 's government tried to plug. The fourth such attempt fell short.	ok	good	ok	ok
Suicide bombers attacked a compound housing Westerners in Kabul on Wednesday hours after U.S. President Barack Obama signed a security pact during a short visit to a city that remains vulnerable to a resilient insurgency.	Suicide bombers attacked a compound housing Westerners in Kabul on Wednesday hours .	good	good	bad	bad
Suicide bombers attacked a compound housing Westerners in Kabul on Wednesday hours after U.S. President Barack Obama signed a security pact during a short visit to a city that remains vulnerable to a resilient insurgency.	Suicide bombers attacked a compound housing Westerners in Kabul on Wednesday hours .	good	good	ok	ok
Suicide bombers attacked a compound housing Westerners in Kabul on Wednesday hours after U.S. President Barack Obama signed a security pact during a short visit to a city that remains vulnerable to a resilient insurgency.	Suicide bombers attacked a compound housing Westerners in Kabul on Wednesday hours. U.S. President Barack Obama signed a security pact during a short visit to a city.	good	good	bad	bad
Suicide bombers attacked a compound housing Westerners in Kabul on Wednesday hours after U.S. President Barack Obama signed a security pact during a short visit to a city that remains vulnerable to a resilient insurgency.	Suicide bombers attacked a compound housing Westerners in Kabul on Wednesday hours. U.S. President Barack Obama signed a security pact during a short visit to a city.	good	good	ok	ok
Suicide bombers attacked a compound housing Westerners in Kabul on Wednesday hours after U.S. President Barack Obama signed a security pact during a short visit to a city that remains vulnerable to a resilient insurgency.	Suicide bombers attacked a compound housing Westerners in Kabul on Wednesday hours. U.S. President Barack Obama signed a security pact during a short visit to a city.	good	ok	ok	ok
Suicide bombers attacked a compound housing Westerners in Kabul on Wednesday hours after U.S. President Barack Obama signed a security pact during a short visit to a city that remains vulnerable to a resilient insurgency.	Suicide bombers attacked a compound housing Westerners in Kabul on Wednesday hours U.S. President Barack Obama signed a security pact during a short visit to a city.	ok	good	ok	ok
Suicide bombers attacked a compound housing Westerners in Kabul on Wednesday hours after U.S. President Barack Obama signed a security pact during a short visit to a city that remains vulnerable to a resilient insurgency.	Suicide bombers attacked a compound housing Westerners in Kabul on Wednesday hours U.S. President Barack Obama signed a security pact during a short visit to a city.	ok	good	ok	ok
Suicide bombers attacked a compound housing Westerners in Kabul on Wednesday hours after U.S. President Barack Obama signed a security pact during a short visit to a city that remains vulnerable to a resilient insurgency.	Suicide bombers attacked a compound housing Westerners in Kabul on Wednesday. U.S. President Barack Obama signed a security pact during a short visit to a city.	good	good	good	good
Sunday's parliamentary vote suggested Russians are tiring of Putin and his United Russia party, which has dominated all other political forces in Russia for the past dozen years and earned a reputation for corruption.	Russians are tiring Putin and his United Russia party. Putin and his United Russia party has dominated all other political forces in Russia for the past dozen years. Putin and his United Russia party earned a reputation for corruption.	good	ok	good	ok
Sunday's parliamentary vote suggested Russians are tiring of Putin and his United Russia party, which has dominated all other political forces in Russia for the past dozen years and earned a reputation for corruption.	Russians are tiring Putin and his United Russia party. Putin and his United Russia party has dominated all other political forces in Russia for the past dozen years. Putin and his United Russia party earned a reputation for corruption.	ok	good	bad	bad
Sunday's parliamentary vote suggested Russians are tiring of Putin and his United Russia party, which has dominated all other political forces in Russia for the past dozen years and earned a reputation for corruption.	Sunday 's parliamentary vote suggested .	bad	bad	bad	bad
Sunday's parliamentary vote suggested Russians are tiring of Putin and his United Russia party, which has dominated all other political forces in Russia for the past dozen years and earned a reputation for corruption.	Sunday Sunday 's parliamentary vote Russians are tiring Putin and his United Russia party has dominated all other political forces in Russia for the past dozen years and earned a reputation for corruption.	ok	ok	bad	bad
Sunday's parliamentary vote suggests Russians are tiring of Putin and his United Russia party.	Russians are tiring Putin and his United Russia party.	good	good	bad	bad
Sunday's parliamentary vote suggests Russians are tiring of Putin and his United Russia party.	Russians are tiring Putin and his United Russia party.	good	good	bad	bad
Sunday's parliamentary vote suggests Russians are tiring of Putin and his United Russia party.	Sunday 's parliamentary vote suggests .	ok	bad	bad	bad
Sunday's parliamentary vote suggests Russians are tiring of Putin and his United Russia party.	Sunday Sunday 's parliamentary vote Russians are tiring Putin and his United Russia party.	ok	good	bad	bad
"The 18-year-old man arrested on suspicion of murder has been taken to a police station where he will be interviewed by detectives."	The 18-year-old man arrested on suspicion murder has been taken to a police station.	good	good	ok	ok
The 18-year-old man arrested on suspicion of murder has been taken to a police station where he will be interviewed by detectives.	`` The 18-year-old man arrested on suspicion of murder has been taken to a police station .''	good	good	good	good
"The 18-year-old man arrested on suspicion of murder has been taken to a police station where he will be interviewed by detectives."	The 18-year-old man arrested on suspicion. The 18-year-old man has been taken to a police station.	ok	good	ok	ok
"The 18-year-old man arrested on suspicion of murder has been taken to a police station where he will be interviewed by detectives."	The 18-year-old man arrested on suspicion. The 18-year-old man has been taken to a police station.	ok	good	ok	ok
The Chinese embassy in Manila released a statement on Wednesday ordering the warship out of the disputed waters.	The Chinese embassy in Manila released a statement on Wednesday.	good	bad	bad	bad
The Chinese embassy in Manila released a statement on Wednesday ordering the warship out of the disputed waters.	The Chinese embassy in Manila released a statement on Wednesday ordering the warship out of the disputed waters.	good	ok	good	ok
The Chinese embassy in Manila released a statement on Wednesday ordering the warship out of the disputed waters.	The Chinese embassy in Manila released a statement on Wednesday. The Chinese embassy ordered the warship out of the disputed waters.	good	good	good	good
The Chinese embassy in Manila released a statement on Wednesday ordering the warship out of the disputed waters.	The Chinese embassy in Manila released a statement on Wednesday. The Chinese embassy ordered the warship out of the disputed waters.	good	ok	good	ok
The Chinese Embassy said it had received a report that a dozen Chinese fishing boats had taken refuge in a lagoon of Huangyan Island to escape foul weather when the Philippine gunboat blocked the lagoon entrance and sent 12 Philippine soldiers to harass the Chinese fishermen.	It had received a report. A dozen Chinese fishing boats had taken refuge in a lagoon. The Philippine gunboat blocked the lagoon entrance. The Philippine gunboat sent 12 Philippine soldiers. The Philippine gunboat to harass the Chinese fishermen.	ok	ok	ok	ok
The Chinese Embassy said it had received a report that a dozen Chinese fishing boats had taken refuge in a lagoon of Huangyan Island to escape foul weather when the Philippine gunboat blocked the lagoon entrance and sent 12 Philippine soldiers to harass the Chinese fishermen.	The Chinese Embassy had received a report. A dozen Chinese fishing boats had taken refuge in a lagoon. The Philippine gunboat blocked the lagoon entrance. The Philippine gunboat sent 12 Philippine soldiers. The Philippine gunboat to harass the Chinese fishermen.	ok	good	ok	ok
The Chinese Embassy said it had received a report that a dozen Chinese fishing boats had taken refuge in a lagoon of Huangyan Island to escape foul weather when the Philippine gunboat blocked the lagoon entrance and sent 12 Philippine soldiers to harass the Chinese fishermen.	The Chinese Embassy said .	bad	good	bad	bad
The Chinese Embassy said it had received a report that a dozen Chinese fishing boats had taken refuge in a lagoon of Huangyan Island to escape foul weather when the Philippine gunboat blocked the lagoon entrance and sent 12 Philippine soldiers to harass the Chinese fishermen.	The Chinese Embassy said it had received a report a dozen Chinese fishing boats had taken refuge in a lagoon Huangyan Island the Philippine gunboat blocked the lagoon entrance and sent 12 Philippine soldiers to harass the Chinese fishermen.	bad	good	ok	ok
The gunman left the scene in a getaway car which was found burned out at Goldenbridge Terrace, Inchicore last night.	The gunman left the scene in a getaway car .	good	good	ok	ok
The gunman left the scene in a getaway car which was found burned out at Goldenbridge Terrace, Inchicore last night.	The gunman left the scene in a getaway car. A getaway car was found burned at Goldenbridge Terrace Inchicore last night.	good	good	good	good
The gunman left the scene in a getaway car which was found burned out at Goldenbridge Terrace, Inchicore last night.	The gunman left the scene in a getaway car. A getaway car was found burned at Goldenbridge Terrace Inchicore last night.	good	good	good	good
The gunman left the scene in a getaway car which was found burned out at Goldenbridge Terrace, Inchicore last night.	The gunman left the scene in a getaway car was found burned at Goldenbridge Terrace, Inchicore last night.	ok	ok	good	ok
Accomack County, formerly Accomac Shire, is a U.S. county located in the Commonwealth of Virginia.	Accomack County, formerly Accomac Shire, is a U.S. county located in the Commonwealth of Virginia.	good	ok	good	ok
Accomack County, formerly Accomac Shire, is a U.S. county located in the Commonwealth of Virginia.	Accomack County, formerly Accomac Shire, is a U.S. county located in the Commonwealth of Virginia.	good	ok	good	ok
Accomack County, formerly Accomac Shire, is a U.S. county located in the Commonwealth of Virginia.	Accomack County, known in the past as Accomac Shire, is a U.S. county located in the Commonwealth of Virginia.	good	good	good	good
After the war he returned to Charterhouse, resigning in 1921 in order to join the first Everest expedition.	After the war he returned to Charterhouse, resigning in 1921 in order to join the first Everest expedition.	good	good	good	good
After the war he returned to Charterhouse, resigning in 1921 in order to join the first Everest expedition.	After the war he returned to Charterhouse, resigning in 1921 to take part in the first Everest expedition.	good	ok	good	ok
After the war he returned to Charterhouse, resigning in 1921 in order to join the first Everest expedition.	After the war he returned to Charterhouse, retiring in 1921 in order to join the first Everest expedition.	good	good	good	good
A small craft advisory was also issued for coastal waters of Saint Martin due to strong waves from the storm.	A small craft advisory was also issued for coastal waters of Saint Martin due to strong waves from the storm.	good	good	good	good
A small craft advisory was also issued for coastal waters of Saint Martin due to strong waves from the storm.	A small craft advisory was also issued for coastal waters of Saint Martin due to strong waves from the storm	good	good	good	good
A small craft advisory was also issued for coastal waters of Saint Martin due to strong waves from the storm.	A small craft committee was also issued for coastal waters of Saint Martin due to strong waves from the storm.	ok	good	ok	ok
A splash of water was usually employed to wake the man if unconscious, then he was laid down on the table.	A splash of water was usually employed to wake the man if unconscious, then he was laid down on the table.	good	good	good	good
A splash of water was usually employed to wake the man if unconscious, then he was laid down on the table.	A splash of water was usually employed to wake the man if unconscious, then he was laid down on the table.	good	good	good	good
A splash of water was usually employed to wake the man if unconscious, then he was laid down on the table.	A splash of water was usually used to fall the man if unconscious, then he was laid down on the table.	good	good	ok	ok
At a higher elevation is the Bucegi Plateau, where wind and rain have turned the rocks into spectacular figures such as the Sphinx and Babele.	At a higher elevation is the Bucegi Plateau, where wind and rain have turned the rocks into brilliant figures such as the Sphinx and Babele.	good	good	good	good
At a higher elevation is the Bucegi Plateau, where wind and rain have turned the rocks into spectacular figures such as the Sphinx and Babele.	At a higher elevation is the Bucegi Plateau, where wind and rain have turned the rocks into impressive figures such as the Sphinx and Babele.	good	good	good	good
At a higher elevation is the Bucegi Plateau, where wind and rain have turned the rocks into spectacular figures such as the Sphinx and Babele.	At a higher elevation is the Bucegi Plateau, where wind and rain have turned the rocks into spectacular figures such as the Sphinx and Babele.	good	good	good	good
Because of this, a runoff between those not already eliminated was conducted; Darrah eventually won immunity.	Because of this, a runoff between those not already eliminated was conducted; Darrah eventually won immunity.	good	ok	good	ok
Because of this, a runoff between those not already eliminated was conducted; Darrah eventually won immunity.	Because of this, a runoff between those not already eliminated was conducted; Darrah eventually won immunity.	good	ok	good	ok
Because of this, a runoff between those not already eliminated was conducted; Darrah eventually won immunity.	ecause of this, a election between those not already reduced was conducted; Darrah eventually won privilege.	good	ok	good	ok
Breeza is a locality in New South Wales, Australia.	Breeza is a locality in New South Wales , Australia .	good	good	good	good
Breeza is a locality in New South Wales, Australia.	Breeza is a municipality in New South Wales, Australia.	good	good	good	good
Breeza is a locality in New South Wales, Australia.	Breeza is a small village in New South Wales, Australia.	good	good	good	good
British territory was enlarged in the Second Anglo-Maratha War which ended in 1803.	British region was enlarged in the Second Anglo-Maratha War which ended in 1803.	good	ok	good	ok
British territory was enlarged in the Second Anglo-Maratha War which ended in 1803.	British territory became bigger in the Second Anglo-Maratha War which ended in 1803.	good	good	good	good
British territory was enlarged in the Second Anglo-Maratha War which ended in 1803.	British territory was enlarged in the Second Anglo-Maratha War which ended in 1803.	good	good	good	good
Child sexual abuse is a form of child abuse in which an adult or older adolescent abuses a child for sexual stimulation.	Child sexual abuse is a form of child abuse in which an adult or older adolescent abuses a child for sexual stimulation.	good	bad	good	bad
Child sexual abuse is a form of child abuse in which an adult or older adolescent abuses a child for sexual stimulation.	Child sexual abuse is a form of child abuse in which an adult or older teenage abuses a child for sexual stimulation.	good	good	good	good
Child sexual abuse is a form of child abuse in which an adult or older adolescent abuses a child for sexual stimulation.	Child sexual abuse is a kind of child abuse when an adult or older teenager makes a child do any kind of sexual activities.	good	good	good	good
Dolls have been around since the dawn of human civilization, and have been fashioned from a vast array of materials, ranging from stone, clay, wood, bone, cloth and paper, to porcelain, china, rubber and plastic.	Dolls have been around since the beginning of human civilization, and have been made from many different types of materials, like stone, clay, wood, bone, cloth and paper, to porcelain, china, rubber and plastic.	good	good	good	good
Dolls have been around since the dawn of human civilization, and have been fashioned from a vast array of materials, ranging from stone, clay, wood, bone, cloth and paper, to porcelain, china, rubber and plastic.	Dolls have been around since the dawn of human civilization, and have been fashioned from a vast array of materials, ranging from stone, clay, wood, bone, cloth and paper, to porcelain, china, rubber and plastic.	good	ok	good	ok
Dolls have been around since the dawn of human civilization, and have been fashioned from a vast array of materials, ranging from stone, clay, wood, bone, cloth and paper, to porcelain, china, rubber and plastic.	toys have been around since the night of human culture, and have been fashioned from a vast variety of materials, ranging from stone, clay, wood, skin, silk and paper, to pottery, china, rubber and glass.	good	good	bad	bad
During the peak of the storm, police officials advised citizens to remain indoors away from harm, though there were several reports of looting throughout the territory.	During the peak of the storm, police officials advised citizens to remain indoors away from harm, though there were several reports of looting throughout the territory.	good	bad	good	bad
During the peak of the storm, police officials advised citizens to remain indoors away from harm, though there were several reports of looting throughout the territory.	During the peak of the storm, police officials advised citizens to remain indoors away from harm, though there were several reports of looting throughout the territory.	good	bad	good	bad
During the peak of the storm, police officials advised citizens to remain indoors away from harm, though there were several reports of looting throughout the territory.	During the peak of the storm, police officials asked people to remain indoors away from damage, though there were several reports of vandalism throughout the territory.	good	good	good	good
Each entry has a datum - a copy of the same datum in some backing store.	Each entry has a datum - a copy of the same datum in some backing store.	good	good	good	good
Each entry has a datum - a copy of the same datum in some backing store.	Each entry has a datum - a copy of the same datum in some support store.	good	good	good	good
Each entry has a datum - a copy of the same datum in some backing store.	Each entry holds a datum which is a copy of a datum in another place.	good	good	good	good
Editors with non-Latin usernames are welcome to edit in Wikipedia.	Editors with non-Latin usernames are welcome to edit in Wikipedia.	good	good	good	good
Editors with non-Latin usernames are welcome to edit in Wikipedia.	Editors with non-Latin usernames are welcome to edit in Wikipedia.	good	good	good	good
Editors with non-Latin usernames are welcome to edit in Wikipedia.	Users with non-Latin usernames are welcome to edit in Wikipedia.	good	good	good	good
Empire of the Sun has gained mainstream media attention for gaining fourth position on the BBC's annual Sound of Music poll 2009.	Empire of the Sun has gained mainstream media attention for gaining fourth position on the BBC's annual Sound of Music poll 2009.	good	ok	good	ok
Empire of the Sun has gained mainstream media attention for gaining fourth position on the BBC's annual Sound of Music poll 2009.	Empire of the Sun has gained mainstream media attention for gaining fourth position on the BBC's annual Sound of Music survey 2009.	good	ok	good	ok
Empire of the Sun has gained mainstream media attention for gaining fourth position on the BBC's annual Sound of Music poll 2009.	Recently Empire of the Sun was in the news for getting to fourth position on the BBC's annual Sound of Music poll 2009.	good	good	good	good
Empirical studies of 20th century cartels have determined that the mean duration of discovered cartels is from 5 to 8 years.	Empirical studies of 20th century cartels have determined that the mean period of discovered cartels is from 5 to 8 years.	good	good	good	good
Empirical studies of 20th century cartels have determined that the mean duration of discovered cartels is from 5 to 8 years.	mpirical studies of 20th century cartels have determined that the mean duration of discovered cartels is from 5 to 8 years.	good	ok	good	ok
Empirical studies of 20th century cartels have determined that the mean duration of discovered cartels is from 5 to 8 years.	theoretical studies of twentieth century gangs have determined that the mean length of found gangs is from 5 to 8 years.	ok	good	ok	ok
Existing definitions are based on replacing a given particle with an imaginary sphere that has one of the properties identical with the particle.	Existing definitions are based on replacent of a given particle with imaginary sphere that has one of the properties identical with the particle.	good	bad	good	bad
Existing definitions are based on replacing a given particle with an imaginary sphere that has one of the properties identical with the particle.	Existing definitions are based on replacing a given physics with an imaginary sphere that has one of the properties identical with the physics.	good	good	ok	ok
Existing definitions are based on replacing a given particle with an imaginary sphere that has one of the properties identical with the particle.	Existing definitions are found on replacing a given particle with an imaginary sphere that has one of the properties identical with the particle.	good	ok	good	ok
Former Amon Amarth drummer Martin Lopez responded to a newspaper ad placed by Åkerfeldt and joined Opeth in 1997.	Former Amon Amarth band Martin Lopez needed to a newspaper ad placed by Åkerfeldt and joined Opeth in 1997.	bad	good	ok	ok
Former Amon Amarth drummer Martin Lopez responded to a newspaper ad placed by Åkerfeldt and joined Opeth in 1997.	Former Amon Amarth drummer Martin Lopez answered a newspaper ad placed by Åkerfeldt and joined Opeth in 1997.	good	good	good	good
Former Amon Amarth drummer Martin Lopez responded to a newspaper ad placed by Åkerfeldt and joined Opeth in 1997.	Former Amon Amarth drummer Martin Lopez responded to a newspaper placed by ... kerfeldt and joined Opeth in 1997.	good	ok	good	ok
he access to the Piccadilly and Victoria line platforms is by staircase only, reached via two narrow passages that physically prevent the installation of automatic ticket barriers - remarkable, considering its Zone 2 location.	The access to the Piccadilly and Victoria line platforms is by entrance only, reached via two narrow passages that physically prevent the maintenance of automatic ticket barriers - impressive, considering its Zone 2 location.	good	good	ok	ok
